Ligand_WB,Receptor_WB,Ligand_symbol,Receptor_symbol,score,index,LR Function,L Function,R Function,Ligand_desc,Receptor_desc
WBGene00003111,WBGene00004048,mab-20,plx-2,1.0,86,Cell migration,Semaphorin (axon guidance),Plexin (semaphorin receptor),"Is an ortholog of human SEMA4D (semaphorin 4D). Exhibits semaphorin receptor binding activity. Is involved in several processes, including embryonic morphogenesis; generation of neurons; and male anatomical structure morphogenesis. Localizes to cell surface. Is expressed in several structures, including linker cell; ray neurons; ray precursor cell; somatic nervous system; and vulval cell. Human ortholog(s) of this gene are implicated in CHARGE syndrome; hypogonadotropic hypogonadism (multiple); and retinal degeneration (multiple).","Is an ortholog of human PLXNC1 (plexin C1) and PLXND1 (plexin D1). Exhibits semaphorin receptor activity. Is involved in several processes, including generation of neurons; nematode larval development; and nematode male tail tip morphogenesis. Localizes to cell leading edge and cell surface. Is expressed in several structures, including P3/4L; P9/10L; P9/10R; neuroblasts; and ray structural cell."
WBGene00003395,WBGene00003007,mom-2,lin-18,1.0,101,Wnt signaling,Wnt,Ryk/Derailed,"Exhibits receptor tyrosine kinase binding activity. Is involved in several processes, including asymmetric protein localization involved in cell fate determination; embryonic morphogenesis; and generation of neurons. Is expressed in several structures, including HSN; Z2; Z3; anchor cell; and epithelial cell. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).","Is an ortholog of human RYK (receptor like tyrosine kinase). Is predicted to have ATP binding activity and protein kinase activity. Is involved in several processes, including asymmetric protein localization involved in cell fate determination; axis specification; and positive regulation of neurogenesis. Localizes to cytoplasm; nucleus; and plasma membrane. Is expressed in body wall musculature; neurons; and vulva."
WBGene00003029,WBGene00000478,lin-44,cfz-2,1.0,112,Wnt signaling,Wnt,Frizzled,"Is an ortholog of human WNT10A (Wnt family member 10A) and WNT10B (Wnt family member 10B). Is predicted to have frizzled binding activity and receptor ligand activity. Is involved in several processes, including generation of neurons; nematode male tail tip morphogenesis; and neuroblast migration. Is expressed in several structures, including P6.pa; P6.pp; anchor cell; rectal epithelial cell; and tail. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).",Is an ortholog of human FZD5 (frizzled class receptor 5). Is predicted to have Wnt-activated receptor activity and Wnt-protein binding activity. Is involved in generation of neurons and neuroblast migration. Is expressed in intestine; nervous system; and pharynx. Human ortholog(s) of this gene are implicated in omodysplasia.
WBGene00016354,WBGene00006942,rig-6,wrk-1,1.0,118,Cell migration,Contactin (IgCAM),Ephrin co-receptor (IgCAM),"Is an ortholog of human CNTN4 (contactin 4) and CNTN6 (contactin 6). Is predicted to have cell-cell adhesion mediator activity. Is involved in several processes, including cell morphogenesis; negative regulation of defecation rhythm; and positive regulation of cellular component movement. Localizes to axon; neuronal cell body; and synapse. Is expressed in several structures, including excretory cell; muscle cell; neurons; rectal epithelium; and spermatheca. Human ortholog(s) of this gene are implicated in several diseases, including Compton-North congenital myopathy; MASA syndrome; and nonsyndromic deafness (multiple).","Is predicted to have axon guidance receptor activity. Is expressed in several structures, including SMDVL; body ganglion; head neurons; hermaphrodite distal tip cell; and interfacial epithelial cell. Human ortholog(s) of this gene are implicated in ovarian cancer."
WBGene00002280,WBGene00002081,let-2,ina-1,1.0,126,Cell adhesion,Collagen,Integrin,"Is an ortholog of human COL4A5 (collagen type IV alpha 5 chain) and COL4A6 (collagen type IV alpha 6 chain). Exhibits extracellular matrix structural constituent conferring tensile strength. Is involved in several processes, including embryo development; gonad morphogenesis; and regulation of distal tip cell migration. Localizes to collagen type IV trimer. Is expressed in several structures, including coelomocyte; egg-laying apparatus; rectal muscle; spermatheca; and tail.","Is an ortholog of human ITGA3 (integrin subunit alpha 3); ITGA6 (integrin subunit alpha 6); and ITGA7 (integrin subunit alpha 7). Exhibits transmembrane signaling receptor activity. Is involved in several processes, including cell-cell adhesion mediated by integrin; generation of neurons; and nematode male tail tip morphogenesis. Localizes to integrin complex and phagocytic cup. Is expressed in several structures, including distal tip cell; hermaphrodite gonad; male-specific anatomical entity; pharynx; and vulE. Is used to study epilepsy. Human ortholog(s) of this gene are implicated in several diseases, including congenital muscular dystrophy due to integrin alpha-7 deficiency; inherited blood coagulation disease (multiple); and junctional epidermolysis bullosa with pyloric atresia."
WBGene00004889,WBGene00004048,smp-1,plx-2,1.0,134,Cell migration,Semaphorin,Plexin (semaphorin receptor),"Is an ortholog of human SEMA6A (semaphorin 6A). Exhibits semaphorin receptor binding activity. Is involved in nematode male tail mating organ morphogenesis. Is expressed in several structures, including hermaphrodite distal tip cell; non-striated muscle; ray; somatic nervous system; and vulval cell. Human ortholog(s) of this gene are implicated in CHARGE syndrome; hypogonadotropic hypogonadism (multiple); and retinal degeneration (multiple).","Is an ortholog of human PLXNC1 (plexin C1) and PLXND1 (plexin D1). Exhibits semaphorin receptor activity. Is involved in several processes, including generation of neurons; nematode larval development; and nematode male tail tip morphogenesis. Localizes to cell leading edge and cell surface. Is expressed in several structures, including P3/4L; P9/10L; P9/10R; neuroblasts; and ray structural cell."
WBGene00004890,WBGene00004048,smp-2,plx-2,1.0,135,Cell migration,Semaphorin,Plexin (semaphorin receptor),"Is an ortholog of several human genes including SEMA6A (semaphorin 6A); SEMA6C (semaphorin 6C); and SEMA7A (semaphorin 7A (John Milton Hagen blood group)). Is predicted to have chemorepellent activity and semaphorin receptor binding activity. Is involved in nematode male tail mating organ morphogenesis. Is expressed in several structures, including hook; inner labial neurons; pharyngeal cell; ray; and vulval cell. Human ortholog(s) of this gene are implicated in CHARGE syndrome; hypogonadotropic hypogonadism (multiple); and retinal degeneration (multiple).","Is an ortholog of human PLXNC1 (plexin C1) and PLXND1 (plexin D1). Exhibits semaphorin receptor activity. Is involved in several processes, including generation of neurons; nematode larval development; and nematode male tail tip morphogenesis. Localizes to cell leading edge and cell surface. Is expressed in several structures, including P3/4L; P9/10L; P9/10R; neuroblasts; and ray structural cell."
WBGene00004264,WBGene00004210,qua-1,ptc-3,1.0,148,Hedgehog signaling,IHH,PTCH2,"Is an ortholog of human DHH (desert hedgehog signaling molecule); IHH (Indian hedgehog signaling molecule); and SHH (sonic hedgehog signaling molecule). Is involved in molting cycle and nematode larval development. Localizes to collagen and cuticulin-based cuticle extracellular matrix. Is expressed in several structures, including P1; P12; P2; excretory system; and hypodermal cell. Human ortholog(s) of this gene are implicated in several diseases, including 46 XY gonadal dysgenesis; bone development disease (multiple); and holoprosencephaly 3.","Is an ortholog of human PTCH1 (patched 1) and PTCH2 (patched 2). Is predicted to have hedgehog family protein binding activity; hedgehog receptor activity; and smoothened binding activity. Is involved in molting cycle. Localizes to apical plasma membrane and cytoplasmic vesicle. Is expressed in several structures, including CEP; cloaca; egg-laying apparatus; excretory duct; and preanal ganglion."
WBGene00003395,WBGene00003238,mom-2,mig-1,1.0,150,Wnt signaling,Wnt,Frizzled,"Exhibits receptor tyrosine kinase binding activity. Is involved in several processes, including asymmetric protein localization involved in cell fate determination; embryonic morphogenesis; and generation of neurons. Is expressed in several structures, including HSN; Z2; Z3; anchor cell; and epithelial cell. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).",Is predicted to have Wnt-activated receptor activity and Wnt-protein binding activity. Is involved in generation of neurons; mitochondrial unfolded protein response; and neuroblast migration. Is expressed in anal depressor muscle; head muscle; and neurons. Human ortholog(s) of this gene are implicated in nonsyndromic congenital nail disorder 10 and omodysplasia.
WBGene00004890,WBGene00004047,smp-2,plx-1,1.0,155,Cell migration,Semaphorin,Plexin (semaphorin receptor),"Is an ortholog of several human genes including SEMA6A (semaphorin 6A); SEMA6C (semaphorin 6C); and SEMA7A (semaphorin 7A (John Milton Hagen blood group)). Is predicted to have chemorepellent activity and semaphorin receptor binding activity. Is involved in nematode male tail mating organ morphogenesis. Is expressed in several structures, including hook; inner labial neurons; pharyngeal cell; ray; and vulval cell. Human ortholog(s) of this gene are implicated in CHARGE syndrome; hypogonadotropic hypogonadism (multiple); and retinal degeneration (multiple).","Is an ortholog of human PLXNA2 (plexin A2); PLXNA3 (plexin A3); and PLXNA4 (plexin A4). Exhibits semaphorin receptor activity. Is involved in epidermis development; male anatomical structure morphogenesis; and regulation of cellular component movement. Localizes to integral component of membrane and ruffle. Colocalizes with actin filament. Is expressed in several structures, including DA9; epithelial cell; non-striated muscle; somatic nervous system; and tail."
WBGene00003029,WBGene00003006,lin-44,lin-17,1.0,158,Wnt signaling,Wnt,Frizzled,"Is an ortholog of human WNT10A (Wnt family member 10A) and WNT10B (Wnt family member 10B). Is predicted to have frizzled binding activity and receptor ligand activity. Is involved in several processes, including generation of neurons; nematode male tail tip morphogenesis; and neuroblast migration. Is expressed in several structures, including P6.pa; P6.pp; anchor cell; rectal epithelial cell; and tail. Human ortholog(s) of this gene are implicated in several diseases, including Mullerian aplasia and hyperandrogenism; autosomal dominant Robinow syndrome 1; and bone development disease (multiple).","Is an ortholog of human FZD4 (frizzled class receptor 4). Exhibits receptor tyrosine kinase binding activity. Is involved in several processes, including asymmetric protein localization involved in cell fate determination; axis specification; and generation of neurons. Localizes to neuron projection membrane. Is expressed in several structures, including P3.p male; P4.p male; PQR; epithelial cell; and male-specific anatomical entity. Human ortholog(s) of this gene are implicated in exudative vitreoretinopathy 1."
WBGene00006951,WBGene00004208,wrt-5,ptc-1,1.0,168,Hedgehog signaling,DHH,PTCH1,"Is predicted to have signaling receptor binding activity. Is expressed in several structures, including excretory system; hermaphrodite gonad; pharyngeal-intestinal valve; phasmid socket cell; and rectal valve cell. Human ortholog(s) of this gene are implicated in several diseases, including 46 XY gonadal dysgenesis; bone development disease (multiple); and holoprosencephaly 3.",Is an ortholog of human PTCH1 (patched 1) and PTCH2 (patched 2). Is predicted to have hedgehog family protein binding activity; hedgehog receptor activity; and smoothened binding activity. Is involved in molting cycle. Localizes to integral component of plasma membrane. Is used to study Parkinson's disease.
WBGene00001107,WBGene00001609,dsl-5,glp-1,1.0,223,Notch signaling,DLL,Notch,Is enriched in Z1.p; Z4.a; gon_male_dtc anterior; and gon_male_dtc posterior based on RNA-seq studies. Is affected by several genes including daf-16; rrf-3; and eat-2 based on RNA-seq and microarray studies. Is affected by eight chemicals including Psoralens; allantoin; and Sirolimus based on RNA-seq and microarray studies. Is predicted to encode a protein with the following domains: Delta serrate ligand; Delta/Serrate/lag-2 (DSL) protein; and Protein Lag2.,"Is an ortholog of human NOTCH1 (notch receptor 1); NOTCH2 (notch receptor 2); and NOTCH3 (notch receptor 3). Exhibits RNA polymerase II transcription factor binding activity and transcription coactivator activity. Is involved in several processes, including maintenance of dauer; pharyngeal muscle development; and positive regulation of cell population proliferation. Localizes to several cellular components, including RNA polymerase II transcription factor complex; lateral plasma membrane; and spanning component of plasma membrane. Is expressed in several structures, including anus; germ line; neurons; somatic nervous system; and vulval precursor cell. Is used to study cancer. Human ortholog(s) of this gene are implicated in several diseases, including Adams-Oliver syndrome; Alagille syndrome; and CADASIL 1."
WBGene00019407,WBGene00011345,K05F1.5,dma-1,1.0,230,Cell migration,LECT2,Neuronal tran-mb R,"Is an ortholog of human LECT2 (leukocyte cell derived chemotaxin 2). Is involved in innervation; regulation of dendrite extension; and regulation of dendrite morphogenesis. Localizes to several cellular components, including cell surface; perikaryon; and sensory dendrite. Is expressed in body wall musculature; coelomocyte; head neurons; and ventral cord neurons.",Exhibits protease binding activity. Is involved in generation of neurons. Localizes to dendrite membrane. Is expressed in head neurons; mechanosensory neurons; somatic nervous system; and vulva. Human ortholog(s) of this gene are implicated in cornea plana.
WBGene00003774,WBGene00011345,mnr-1,dma-1,1.0,232,Cell migration,GRIN1,Neuronal tran-mb R,Is an ortholog of human GRIN1 (glutamate ionotropic receptor NMDA type subunit 1). Is predicted to contribute to NMDA glutamate receptor activity. Is involved in locomotory behavior and regulation of forward locomotion. Localizes to integral component of plasma membrane; neuron projection; and synapse. Is expressed in gonadal sheath cell and oocyte. Human ortholog(s) of this gene are implicated in autosomal dominant non-syndromic intellectual disability 8.,Exhibits protease binding activity. Is involved in generation of neurons. Localizes to dendrite membrane. Is expressed in head neurons; mechanosensory neurons; somatic nervous system; and vulva. Human ortholog(s) of this gene are implicated in cornea plana.
WBGene00003169,WBGene00003168,mec-5,mec-4,1.0,237,Mechanosensory mechanism,ECM protein,DEG/ENaC channel (receptor of ECM mec proteins),"Is predicted to have extracellular matrix structural constituent. Is involved in several processes, including detection of mechanical stimulus involved in sensory perception of touch; positive regulation of detection of mechanical stimulus involved in sensory perception of touch; and positive regulation of mechanosensory behavior. Localizes to extracellular matrix. Is expressed in head; hypodermis; muscle cell; tail; and touch receptor neurons.","Is an ortholog of human SCNN1B (sodium channel epithelial 1 subunit beta) and SCNN1G (sodium channel epithelial 1 subunit gamma). Exhibits ligand-gated sodium channel activity. Is involved in several processes, including detection of mechanical stimulus involved in sensory perception of touch; negative regulation of turning behavior involved in mating; and positive regulation of detection of mechanical stimulus involved in sensory perception of touch. Localizes to axon; integral component of plasma membrane; and neuron projection membrane. Is expressed in touch receptor neurons. Is used to study hypokalemic periodic paralysis; ischemia; and neurodegenerative disease. Human ortholog(s) of this gene are implicated in bronchiectasis (multiple) and renal tubular transport disease (multiple)."
WBGene00003169,WBGene00003174,mec-5,mec-10,1.0,240,Mechanosensory mechanism,ECM protein,DEG/ENaC channel (receptor of ECM mec proteins),"Is predicted to have extracellular matrix structural constituent. Is involved in several processes, including detection of mechanical stimulus involved in sensory perception of touch; positive regulation of detection of mechanical stimulus involved in sensory perception of touch; and positive regulation of mechanosensory behavior. Localizes to extracellular matrix. Is expressed in head; hypodermis; muscle cell; tail; and touch receptor neurons.","Is an ortholog of human SCNN1A (sodium channel epithelial 1 subunit alpha); SCNN1B (sodium channel epithelial 1 subunit beta); and SCNN1G (sodium channel epithelial 1 subunit gamma). Exhibits ligand-gated sodium channel activity. Is involved in several processes, including detection of mechanical stimulus involved in sensory perception of touch; positive regulation of detection of mechanical stimulus involved in sensory perception of touch; and positive regulation of mechanosensory behavior. Localizes to cell body membrane. Is expressed in neurons. Human ortholog(s) of this gene are implicated in bronchiectasis (multiple) and renal tubular transport disease (multiple)."
