"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"65","TLR2","ENSG00000137462","65.1.1","N/A","N/A","N/A"
"66","LEPR","ENSG00000116678","66.1.1","N/A","N/A","N/A"
"67","CHRNA4","ENSG00000101204","67.1.1","N/A","N/A","N/A"
"68","LRP5","ENSG00000162337","68.1.1","N/A","N/A","N/A"
"69","SCARB1","ENSG00000073060","69.1.1","N/A","N/A","N/A"
"70","SORL1","ENSG00000137642","70.1.1","N/A","N/A","N/A"
"71","VLDLR","ENSG00000147852","71.1.1","N/A","N/A","N/A"
"72","CAV1","ENSG00000105974","72.1.1","cav-1","WBGene00000301","Caveolin-1  [Source:UniProtKB/Swiss-Prot;Acc:Q94051]"
"72","CAV1","ENSG00000105974","72.1.2","cav-2","WBGene00000302","Caveolin-2  [Source:UniProtKB/Swiss-Prot;Acc:Q18879]"
"73","CD74","ENSG00000019582","73.1.1","N/A","N/A","N/A"
"74","GPC1","ENSG00000063660","74.1.1","gpn-1","WBGene00001687","GlyPicaN  [Source:UniProtKB/TrEMBL;Acc:G5EGU4]"
"75","NCSTN","ENSG00000162736","75.1.1","aph-2","WBGene00000148","Nicastrin  [Source:UniProtKB/Swiss-Prot;Acc:Q23316]"
"76","NGFR","ENSG00000064300","76.1.1","N/A","N/A","N/A"
"77","SLC45A3","ENSG00000158715","77.1.1","N/A","N/A","N/A"
"78","TNFRSF21","ENSG00000146072","78.1.1","N/A","N/A","N/A"
"79","ERBB3","ENSG00000065361","79.1.1","N/A","N/A","N/A"
"80","CHRM3","ENSG00000133019","80.1.1","N/A","N/A","N/A"
"81","PLD2","ENSG00000129219","81.1.1","pld-1","WBGene00004040","Phospholipase  [Source:UniProtKB/TrEMBL;Acc:G5EDU3]"
"82","GFRA1","ENSG00000151892","82.1.1","Y69A2AR.31","WBGene00022100",""
"83","GFRA3","ENSG00000146013","83.1.1","Y69A2AR.31","WBGene00022100",""
"84","RET","ENSG00000165731","84.1.1","N/A","N/A","N/A"
"85","ATRN","ENSG00000088812","85.1.1","N/A","N/A","N/A"
"86","F11R","ENSG00000158769","86.1.1","N/A","N/A","N/A"
"87","MC1R","ENSG00000258839","87.1.1","N/A","N/A","N/A"
"88","MC2R","ENSG00000185231","88.1.1","N/A","N/A","N/A"
"89","MGRN1","ENSG00000102858","89.1.1","C11H1.3","WBGene00007529",""
"90","AVPR1A","ENSG00000166148","90.1.1","N/A","N/A","N/A"
"91","AVPR1B","ENSG00000198049","91.1.1","N/A","N/A","N/A"
"92","AVPR2","ENSG00000126895","92.1.1","N/A","N/A","N/A"
"93","OXTR","ENSG00000180914","93.1.1","N/A","N/A","N/A"
"94","CD1A","ENSG00000158477","94.1.1","N/A","N/A","N/A"
"95","CD1B","ENSG00000158485","95.1.1","N/A","N/A","N/A"
"96","CD247","ENSG00000198821","96.1.1","N/A","N/A","N/A"
"97","CD3D","ENSG00000167286","97.1.1","N/A","N/A","N/A"
"98","CD3G","ENSG00000160654","98.1.1","N/A","N/A","N/A"
"99","HFE","ENSG00000010704","99.1.1","N/A","N/A","N/A"
"100","HLA-F","ENSG00000204642","100.1.1","N/A","N/A","N/A"
"101","KIR2DL1","ENSG00000125498","101.1.1","N/A","N/A","N/A"
"102","KIR2DL3","ENSG00000243772","102.1.1","N/A","N/A","N/A"
"103","KIR3DL1","ENSG00000167633","103.1.1","N/A","N/A","N/A"
"104","KLRC1","ENSG00000134545","104.1.1","clec-196","WBGene00009156","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:F5GUE2]"
"104","KLRC1","ENSG00000134545","104.1.2","clec-146","WBGene00013008","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:O18202]"
"105","KLRD1","ENSG00000134539","105.1.1","clec-196","WBGene00009156","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:F5GUE2]"
"105","KLRD1","ENSG00000134539","105.1.2","clec-146","WBGene00013008","C-type LECtin  [Source:UniProtKB/TrEMBL;Acc:O18202]"
"106","LILRB1","ENSG00000104972","106.1.1","N/A","N/A","N/A"
"107","LILRB2","ENSG00000131042","107.1.1","N/A","N/A","N/A"
"108","TFRC","ENSG00000072274","108.1.1","N/A","N/A","N/A"
"109","NRCAM","ENSG00000091129","109.1.1","N/A","N/A","N/A"
"110","DDR1","ENSG00000204580","110.1.1","N/A","N/A","N/A"
"111","DRD4","ENSG00000069696","111.1.1","N/A","N/A","N/A"
"112","NGFRAP1","N/A","112.1.1","N/A","N/A","N/A"
"113","NTRK2","ENSG00000148053","113.1.1","N/A","N/A","N/A"
"114","SORT1","ENSG00000134243","114.1.1","N/A","N/A","N/A"
"115","LY96","ENSG00000154589","115.1.1","N/A","N/A","N/A"
"116","TLR1","ENSG00000174125","116.1.1","N/A","N/A","N/A"
"117","TLR4","ENSG00000136869","117.1.1","N/A","N/A","N/A"
"118","ACVR2A","ENSG00000121989","118.1.1","daf-1","WBGene00000897","Cell surface receptor daf-1  [Source:UniProtKB/Swiss-Prot;Acc:P20792]"
"118","ACVR2A","ENSG00000121989","118.1.2","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"118","ACVR2A","ENSG00000121989","118.1.3","sma-6","WBGene00004860","Serine/threonine-protein kinase sma-6  [Source:UniProtKB/Swiss-Prot;Acc:Q09488]"
"119","ACVR2B","ENSG00000114739","119.1.1","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"120","ACVRL1","ENSG00000139567","120.1.1","daf-1","WBGene00000897","Cell surface receptor daf-1  [Source:UniProtKB/Swiss-Prot;Acc:P20792]"
"120","ACVRL1","ENSG00000139567","120.1.2","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"120","ACVRL1","ENSG00000139567","120.1.3","sma-6","WBGene00004860","Serine/threonine-protein kinase sma-6  [Source:UniProtKB/Swiss-Prot;Acc:Q09488]"
"121","BMPR1A","ENSG00000107779","121.1.1","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"122","BMPR1B","ENSG00000138696","122.1.1","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"122","BMPR1B","ENSG00000138696","122.1.2","sma-6","WBGene00004860","Serine/threonine-protein kinase sma-6  [Source:UniProtKB/Swiss-Prot;Acc:Q09488]"
"123","BMPR2","ENSG00000204217","123.1.1","daf-4","WBGene00000900","Cell surface receptor daf-4  [Source:UniProtKB/Swiss-Prot;Acc:P50488]"
"124","ENG","ENSG00000106991","124.1.1","N/A","N/A","N/A"
"125","HFE2","ENSG00000168509","125.1.1","drag-1","WBGene00022154","RGM domain family member drag-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EDE5]"
"126","ERBB2","ENSG00000141736","126.1.1","N/A","N/A","N/A"
"127","CD79A","ENSG00000105369","127.1.1","N/A","N/A","N/A"
"128","TNFRSF14","ENSG00000157873","128.1.1","N/A","N/A","N/A"
"129","VTCN1","ENSG00000134258","129.1.1","N/A","N/A","N/A"
"130","CD93","ENSG00000125810","130.1.1","apx-1","WBGene00000168","Anterior pharynx in excess protein 1  [Source:UniProtKB/Swiss-Prot;Acc:P41990]"
"130","CD93","ENSG00000125810","130.1.2","T25C12.3","WBGene00012018",""
"130","CD93","ENSG00000125810","130.1.3","egas-3","WBGene00013480","EGF plus ASC domain ion channel  [Source:UniProtKB/TrEMBL;Acc:Q9XTS9]"
"130","CD93","ENSG00000125810","130.1.4","egas-1","WBGene00013486","EGF plus ASC domain ion channel  [Source:UniProtKB/TrEMBL;Acc:Q9U1T9]"
"130","CD93","ENSG00000125810","130.1.5","egas-2","WBGene00013487","EGF plus ASC domain ion channel  [Source:UniProtKB/TrEMBL;Acc:Q9U1T8]"
"130","CD93","ENSG00000125810","130.1.6","egas-4","WBGene00018906","EGF plus ASC domain ion channel  [Source:UniProtKB/TrEMBL;Acc:Q20852]"
"130","CD93","ENSG00000125810","130.1.7","R05G6.9","WBGene00019901",""
"130","CD93","ENSG00000125810","130.1.8","ZK1193.2","WBGene00022858",""
"131","CR1","ENSG00000203710","131.1.1","N/A","N/A","N/A"
"132","CSPG4","ENSG00000173546","132.1.1","C48E7.6","WBGene00016751",""
"133","MFRP","ENSG00000235718","133.1.1","N/A","N/A","N/A"
"134","PLSCR4","ENSG00000114698","134.1.1","scrm-4","WBGene00008681","Phospholipid scramblase  [Source:UniProtKB/TrEMBL;Acc:O62149]"
"134","PLSCR4","ENSG00000114698","134.1.2","scrm-6","WBGene00009753","Phospholipid scramblase  [Source:UniProtKB/TrEMBL;Acc:Q9XV36]"
"134","PLSCR4","ENSG00000114698","134.1.3","scrm-1","WBGene00011935","Phospholipid scramblase  [Source:UniProtKB/TrEMBL;Acc:Q7JKP1]"
"134","PLSCR4","ENSG00000114698","134.1.4","scrm-7","WBGene00013052","Phospholipid scramblase  [Source:UniProtKB/TrEMBL;Acc:L8E6X3]"
"134","PLSCR4","ENSG00000114698","134.1.5","scrm-2","WBGene00014200","Phospholipid scramblase  [Source:UniProtKB/TrEMBL;Acc:G5EEQ3]"
"134","PLSCR4","ENSG00000114698","134.1.6","scrm-3","WBGene00015437","Phospholipid scramblase  [Source:UniProtKB/TrEMBL;Acc:G5EG07]"
"134","PLSCR4","ENSG00000114698","134.1.7","scrm-8","WBGene00019530","Phospholipid scramblase  [Source:UniProtKB/TrEMBL;Acc:Q21319]"
"134","PLSCR4","ENSG00000114698","134.1.8","scrm-5","WBGene00019531","Phospholipid scramblase  [Source:UniProtKB/TrEMBL;Acc:Q21318]"
"135","LY6G6C","ENSG00000204421","135.1.1","N/A","N/A","N/A"
"136","SLC16A4","ENSG00000168679","136.1.1","mct-4","WBGene00003986","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:H2L0E5]"
"136","SLC16A4","ENSG00000168679","136.1.2","mct-3","WBGene00010834","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q93896]"
"136","SLC16A4","ENSG00000168679","136.1.3","mct-2","WBGene00015273","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RE14]"
"136","SLC16A4","ENSG00000168679","136.1.4","mct-6","WBGene00015676","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:O17328]"
"136","SLC16A4","ENSG00000168679","136.1.5","mct-5","WBGene00020168","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q22109]"
"136","SLC16A4","ENSG00000168679","136.1.6","mct-1","WBGene00021227","MonoCarboxylate Transporter family  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RE14]"
"137","C3AR1","ENSG00000171860","137.1.1","N/A","N/A","N/A"
"138","C5AR2","ENSG00000134830","138.1.1","N/A","N/A","N/A"
"139","CD19","ENSG00000177455","139.1.1","N/A","N/A","N/A"
"140","CD46","ENSG00000117335","140.1.1","N/A","N/A","N/A"
"141","CD81","ENSG00000110651","141.1.1","tsp-9","WBGene00006635","Tetraspanin  [Source:UniProtKB/TrEMBL;Acc:Q18177]"
"142","IFITM1","ENSG00000185885","142.1.1","N/A","N/A","N/A"
"143","ITGAX","ENSG00000140678","143.1.1","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"144","CD40","ENSG00000101017","144.1.1","N/A","N/A","N/A"
"145","C5AR1","ENSG00000197405","145.1.1","N/A","N/A","N/A"
"146","TRAF2","ENSG00000127191","146.1.1","trf-1","WBGene00006612","TNF Receptor Associated Factor (TRAF) homolog; TRF-1  [Source:UniProtKB/TrEMBL;Acc:G5EG80]"
"146","TRAF2","ENSG00000127191","146.1.2","trf-2","WBGene00022454","TNF Receptor Associated Factor (TRAF) homolog  [Source:UniProtKB/TrEMBL;Acc:Q9N586]"
"147","ABCA1","ENSG00000165029","147.1.1","abt-1","WBGene00000019","ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:S6EZS3]"
"147","ABCA1","ENSG00000165029","147.1.2","abt-2","WBGene00000020","ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q1RS86]"
"147","ABCA1","ENSG00000165029","147.1.3","abt-5","WBGene00000023","ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:Q9XW49]"
"147","ABCA1","ENSG00000165029","147.1.4","abt-6","WBGene00018982","ABC Transporter family  [Source:UniProtKB/TrEMBL;Acc:O01842]"
"148","ADCY8","ENSG00000155897","148.1.1","N/A","N/A","N/A"
"149","AQP6","ENSG00000086159","149.1.1","aqp-2","WBGene00000170","AQuaPorin or aquaglyceroporin related  [Source:UniProtKB/TrEMBL;Acc:Q17571]"
"150","CACNA1C","ENSG00000151067","150.1.1","N/A","N/A","N/A"
"151","CNGA2","ENSG00000183862","151.1.1","N/A","N/A","N/A"
"152","CRHR1","ENSG00000120088","152.1.1","N/A","N/A","N/A"
"152","CRHR1","ENSG00000263715","152.2.1","N/A","N/A","N/A"
"153","FAS","ENSG00000026103","153.1.1","N/A","N/A","N/A"
"154","GLP1R","ENSG00000112164","154.1.1","N/A","N/A","N/A"
"155","GLP2R","ENSG00000065325","155.1.1","N/A","N/A","N/A"
"156","GP6","ENSG00000088053","156.1.1","N/A","N/A","N/A"
"157","GRM3","ENSG00000198822","157.1.1","mgl-1","WBGene00003232","Probable metabotropic glutamate receptor mgl-1  [Source:UniProtKB/Swiss-Prot;Acc:Q09630]"
"158","GRM4","ENSG00000124493","158.1.1","N/A","N/A","N/A"
"159","GRM5","ENSG00000168959","159.1.1","mgl-2","WBGene00003233","Metabotropic GLutamate receptor family  [Source:UniProtKB/TrEMBL;Acc:A0A0K3AU50]"
"160","GRM7","ENSG00000196277","160.1.1","N/A","N/A","N/A"
"161","HMMR","ENSG00000072571","161.1.1","N/A","N/A","N/A"
"162","HTR2C","ENSG00000147246","162.1.1","ser-6","WBGene00021897","SERotonin/octopamine receptor family  [Source:UniProtKB/TrEMBL;Acc:U4PLH7]"
"163","KCNN4","ENSG00000104783","163.1.1","kcnl-1","WBGene00007176","KCNN (Potassium K ChaNNel, calcium activated)-Like  [Source:UniProtKB/TrEMBL;Acc:Q8I4D2]"
"163","KCNN4","ENSG00000104783","163.1.2","kcnl-4","WBGene00008265","KCNN (Potassium K ChaNNel, calcium activated)-Like  [Source:UniProtKB/TrEMBL;Acc:D5MCU0]"
"163","KCNN4","ENSG00000104783","163.1.3","kcnl-2","WBGene00008570","KCNN (Potassium K ChaNNel, calcium activated)-Like  [Source:UniProtKB/TrEMBL;Acc:G5EDA9]"
"163","KCNN4","ENSG00000104783","163.1.4","kcnl-3","WBGene00015387","Small conductance calcium-activated potassium channel-like protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q11122]"
"164","KCNQ1","ENSG00000053918","164.1.1","N/A","N/A","N/A"
"165","KCNQ3","ENSG00000184156","165.1.1","N/A","N/A","N/A"
"166","KCNQ5","ENSG00000185760","166.1.1","N/A","N/A","N/A"
"167","MIP","ENSG00000135517","167.1.1","N/A","N/A","N/A"
"168","MYLK","ENSG00000065534","168.1.1","N/A","N/A","N/A"
"169","MYLK2","ENSG00000101306","169.1.1","N/A","N/A","N/A"
"170","OPRM1","ENSG00000112038","170.1.1","N/A","N/A","N/A"
"171","PDE1A","ENSG00000115252","171.1.1","pde-1","WBGene00011433","Probable 3',5'-cyclic phosphodiesterase pde-1  [Source:UniProtKB/Swiss-Prot;Acc:O18696]"
"172","PDE1B","ENSG00000123360","172.1.1","N/A","N/A","N/A"
"173","PDE1C","ENSG00000154678","173.1.1","N/A","N/A","N/A"
"174","PPAPDC2","N/A","174.1.1","N/A","N/A","N/A"
"175","PTH2R","ENSG00000144407","175.1.1","N/A","N/A","N/A"
"176","PTPRA","ENSG00000132670","176.1.1","N/A","N/A","N/A"
"177","SCN10A","ENSG00000185313","177.1.1","N/A","N/A","N/A"
"178","SCN4A","ENSG00000007314","178.1.1","N/A","N/A","N/A"
"179","SELL","ENSG00000188404","179.1.1","N/A","N/A","N/A"
"180","TRPC3","ENSG00000138741","180.1.1","N/A","N/A","N/A"
"181","TRPC5","ENSG00000072315","181.1.1","trp-2","WBGene00006615","TRP (Transient receptor potential) channel family; TRP homlogous cation channel protein  [Source:UniProtKB/TrEMBL;Acc:G5EE02]"
"182","ITGA2B","ENSG00000005961","182.1.1","ina-1","WBGene00002081","Integrin alpha ina-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03600]"
"182","ITGA2B","ENSG00000005961","182.1.2","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
"183","SCARF1","ENSG00000074660","183.1.1","N/A","N/A","N/A"
"184","TSHR","ENSG00000165409","184.1.1","fshr-1","WBGene00008239","FSHR (Mammalian follicle stimulating hormone receptor) homolog  [Source:UniProtKB/TrEMBL;Acc:L8EC40]"
"185","IGF1R","ENSG00000140443","185.1.1","N/A","N/A","N/A"
"186","P2RX7","ENSG00000089041","186.1.1","N/A","N/A","N/A"
"187","CCKAR","ENSG00000163394","187.1.1","N/A","N/A","N/A"
"188","CCKBR","ENSG00000110148","188.1.1","N/A","N/A","N/A"
"189","ACKR2","ENSG00000144648","189.1.1","npr-20","WBGene00011578","NeuroPeptide Receptor family  [Source:UniProtKB/TrEMBL;Acc:G5EFT1]"
"190","ACKR4","ENSG00000129048","190.1.1","N/A","N/A","N/A"
"191","CCR2","ENSG00000121807","191.1.1","N/A","N/A","N/A"
"192","CCR3","ENSG00000183625","192.1.1","N/A","N/A","N/A"
"193","CCR5","ENSG00000160791","193.1.1","N/A","N/A","N/A"
"194","CXCR3","ENSG00000186810","194.1.1","N/A","N/A","N/A"
"195","CCR1","ENSG00000163823","195.1.1","N/A","N/A","N/A"
"196","CCR9","ENSG00000173585","196.1.1","N/A","N/A","N/A"
"197","CCR8","ENSG00000179934","197.1.1","N/A","N/A","N/A"
"198","HRH4","ENSG00000134489","198.1.1","N/A","N/A","N/A"
"199","CCR4","ENSG00000183813","199.1.1","N/A","N/A","N/A"
"200","DARC","N/A","200.1.1","N/A","N/A","N/A"
"201","C14ORF1","ENSG00000133935","201.1.1","N/A","N/A","N/A"
"202","CCR10","ENSG00000184451","202.1.1","N/A","N/A","N/A"
"203","CCR7","ENSG00000126353","203.1.1","N/A","N/A","N/A"
"204","CCRL2","ENSG00000121797","204.1.1","N/A","N/A","N/A"
"205","CCR6","ENSG00000112486","205.1.1","N/A","N/A","N/A"
"206","GPR75","ENSG00000119737","206.1.1","N/A","N/A","N/A"
"207","SDC1","ENSG00000115884","207.1.1","sdn-1","WBGene00004749","Probable syndecan  [Source:UniProtKB/Swiss-Prot;Acc:P50605]"
"208","SELP","ENSG00000174175","208.1.1","N/A","N/A","N/A"
"209","TRAF3","ENSG00000131323","209.1.1","trf-1","WBGene00006612","TNF Receptor Associated Factor (TRAF) homolog; TRF-1  [Source:UniProtKB/TrEMBL;Acc:G5EG80]"
"209","TRAF3","ENSG00000131323","209.1.2","trf-2","WBGene00022454","TNF Receptor Associated Factor (TRAF) homolog  [Source:UniProtKB/TrEMBL;Acc:Q9N586]"
"210","CD97","ENSG00000123146","210.1.1","N/A","N/A","N/A"
"211","EMR2","N/A","211.1.1","N/A","N/A","N/A"
"212","CD5","ENSG00000110448","212.1.1","N/A","N/A","N/A"
"213","CD27","ENSG00000139193","213.1.1","N/A","N/A","N/A"
"214","CDH2","ENSG00000170558","214.1.1","N/A","N/A","N/A"
"215","ITGAE","ENSG00000083457","215.1.1","ina-1","WBGene00002081","Integrin alpha ina-1  [Source:UniProtKB/Swiss-Prot;Acc:Q03600]"
"215","ITGAE","ENSG00000083457","215.1.2","pat-2","WBGene00003929","Integrin alpha pat-2  [Source:UniProtKB/Swiss-Prot;Acc:P34446]"
